Caption;FamilyId;SupplierId;SalePriceVatIncluded;DesComClear;NotesClear;RealStock
"Ceramic Tile - White";"1";"10";"1.99";"High-quality white ceramic tiles, suitable for walls and floors.";"Size: 30x30 cm. Suitable for both residential and commercial use.";"150"
"Ceramic Tile - Blue";"1";"10";"2.49";"Durable blue ceramic tiles, perfect for kitchens and bathrooms.";"Size: 20x20 cm. Easy to clean and maintain.";"200"
"Porcelain Tile - Grey";"1";"11";"3.99";"Stylish grey porcelain tiles, ideal for modern interiors.";"Size: 60x60 cm. Scratch-resistant and waterproof.";"100"
"Mosaic Tile - Mixed Colors";"1";"12";"8.99";"Vibrant mosaic tiles in mixed colors for creative designs.";"Size: 10x10 cm. Perfect for accent walls and backsplashes.";"80"
"Glass Tile - Green";"1";"13";"4.99";"Elegant green glass tiles for a unique look.";"Size: 15x15 cm. Reflective surface adds depth to any room.";"50"
"Tile Cutter";"2";"20";"49.99";"Manual tile cutter suitable for cutting ceramic and porcelain tiles.";"Ensure to use safety goggles when operating.";"30"
"Rubber Mallet";"2";"21";"9.99";"Rubber mallet for tapping tiles into place without damaging them.";"Comfortable grip handle.";"100"
"Trowel";"2";"22";"14.99";"Stainless steel trowel for spreading tile adhesive.";"Ergonomic handle for better control.";"120"
"Aluminum Straight Edge";"2";"23";"19.99";"Aluminum straight edge for ensuring tiles are level.";"Lightweight and durable.";"75"
"Tile Spacer";"2";"24";"4.99";"Tile spacers to ensure even spacing between tiles.";"Available in various sizes.";"500"
"Tile Grout Bag";"2";"25";"12.99";"Grout bag for precise application of grout.";"Reusable and easy to clean.";"80"
"Grout Float";"2";"26";"8.99";"Grout float for spreading grout evenly.";"Non-slip handle for better grip.";"150"
"Sponge";"2";"27";"1.49";"High absorbency sponge for cleaning tiles after grouting.";"Durable and long-lasting.";"300"
"Tile Nipper";"2";"28";"24.99";"Tile nipper for cutting small sections of tile.";"Comfortable grip and easy to use.";"60"
