Customer ID,Customer Name,Address
2RCOULEUR,"2R Couleur","Z.I des Bracots, Rue des Près Vignan, 74890, BONS EN CHABLAIS, HAUTE-SAVOIE"
3DCSERVICES,"3DCSERVICES","route de la bouvarde - PARK NORD, 74370, METZ TESSY, HAUTE-SAVOIE"
A4HOLDING,"A4 HOLDING","450 avenue des XV le jeux Olympiques, 73600, MOUTIERS, SAVOIE"
ADELPHIA,"Adelphia","Incomplete address"
A4SERVICES,"A4SERVICES","450, Avenue des XVIe Jeux Olympiques, 73600, MOUTIERS, SAVOIE"
AA-PCESSAI,"AA-PCESSAI","Incomplete address"
ABAC,"ABAC Systems","Affichage Electronique, Mionnaz Nord, 74270, Menthonnex Sous Clermont"
ABCAGENCEMENT,"ABC AGENCEMENT","161 RUE DE L ALBANNE, 73490, LA RAVOIRE, SAVOIE"
ABC-ISOLAT,"ABC Isolation","21, Impasse de la Futaie, Z.A. d'Aléry, 74960, CRAN GEVRIER"
ABD,"ABD Thermie","Incomplete address"
ACERCOMPUTER,"ACER COMPUTER FRANCE","2-8 rue Sarah Bernhardt, CS 90045, 92600, ASNIERES SUR SEINE, HAUTS-DE-SEINE"
ACTINI,"Actini","Parc de Montigny - Maxilly, 74500, EVIAN LES BAINS, HAUTE-SAVOIE"
ACYMAIRIE,"Mairie d'Annecy","Service Informatique, Hôtel de Ville  BP, 74007, ANNECY"
ADDICTFORMCONS,"Addictions Formation Conseil - Franck Warembourg","6 passage Jacquard, App 23, 74960, CRAN GEVRIER, HAUTE-SAVOIE"
ADDR,"Affaire des Doubles Rideaux","9, Rue Sommellier, 74000, ANNECY"
ADONIS,"Adonis Rénovations","593 Avenue Bonatrait, 74140, SCIEZ"
ADP59,"ADP 59","Chalet d'Etudes et Vacances, 74130, ENTREMONT"
ADPLUS,"Ad Plus","65, Route des Provinces, Le Champ des G, 74370, VILLAZ"
ADRETNRJ,"ADRET ENERGIE","Zone Espace Leader, 97, Rue du Nant Borée, 74540, ALBY SUR CHERAN, HAUTE-SAVOIE"
ADSITA,"Adsita","Chemin des Scees, 38930, ST MARTIN DE CLELLES, ISERE"
AEMB,"A.E.M.B Electroérosion","53 rue du Bouleaux, 74300, THIEZ"
AFC,"Audit Formation Conseil","Centre d'Affaires Atria, 1, Avenue Berthollet, 74000, ANNECY"
AFFLELOU-C,"Afflelou Alain Annecy - Mr Chemelle","Bonnet Opticiens, 43, Rue Vaugelas, 74000, Annecy"
AFFLELOU-D,"Afflelou Alain (Carrefour)","Les Marmottes, 134, Avenue de Genève, 74000, Annecy"
AGRIMANA,"Société AGRICOLE de MANA","Rue Mirella Jean Elie, 97360, Mana"
AIXOT,"Office de Tourisme & des Congrès","Rue Jean Monard - BP 132, 73101, AIX LES BAINS Cedex"
ALAINPISCIONERI,"SARL Alain Piscioneri","851 route Forestière du Parmelan, 74370, VILLAZ, HAUTE-SAVOIE"
ALCON-PLAN,"Alcon France","12, Rue du Pré Paillard, P.A.E. les Glaisins, 74940, Annecy Le Vieux"
ALC-RUMILL,"ALC  -  Electro-Ménager","48 avenue Gantin BP 424, 74150, RUMILLY"
ALDEC,"Cabinet ALDEC",""Immeuble  ""Le Royal 2""", 3, Allée des Centaurées  -  BP 144, 38240, MEYLAN Cedex"
ALFA-VERNI,"Alfa Vernis","29, Avenue du Pont de Tasset, Z.I. de, 74960, MEYTHET"
ALLIANCECO,"Alliance Conseil","545, Rue du Colonney, à l'attention d' Anne-Sophie, 74700, Sallanches"
ALLIMANT,"Allimant Frédéric","1, Rue de Chambéry  -  BP 101, 73100, AIX LES BAINS"
ALLOBRHOTE,"Hôtel Les Allobroges","11, Rue Sommellier, 74000, ANNECY"
ALPALABO,"Laboratoire Alpa","Place des Capucins, 73800, MONTMELIAN"
ALPAUTO,"ALP-AUTO Sévrier","Agent Citroën, 74320, SEVRIER"
ALPEGE,"ALPEGE","Incomplete address"
ALPEO,"Cabinet Comptable Alpeo","197 av de la République, 74330, EPAGNY, HAUTE-SAVOIE"
ALPESTROPHEES,"Alpes Trophées","Incomplete address"
ANNECYBOISCONST,"ANNECY BOIS CONSTRUCTION","74540, VIUZ LA CHIESAZ, HAUTE-SAVOIE"
ALPINASECU,"Alpina Sécurité Privé","Park Nord  - Immeuble les Pléiades, 74370, METZ TESSY, HAUTE-SAVOIE"
ALPINATRAN,"Alpina Transaction Immobilière","36 Avenue d'Albigny, 74940, ANNECY le VIEUX"
APLAST,"Aplast","Z.A .du  GLATEY - 81, 73410, La BIOLLE"
ALTELEC,"Altelec","Les Grandes Charrières D1508, 74270, FRANGY, HAUTE-SAVOIE"
ALTERAUDIT,"Alter Audit","PAE de Pré Mairy, 125 Allée Primavera, 74370, PRINGY, HAUTE-SAVOIE"
ALTIUS,"Altius","359, Rue de l'Artisanat, Parc du Calvi, 74330, Poisy"
AMAZONERO,"Amazone Rive Ouest","Chez Mme Sylvie Ravello, 75, Chemin des Fours à Chaux, 74320, Sevrier"
AMBULANCESARA,"Harmonie Ambulance Faverges","Z.A Le Cudray, 310 route de Thônes, 74210, FAVERGES, HAUTE-SAVOIE"
AMIFROID,"Amifroid","Zac des Romains, 2, Route de la salle, 74960, CRAN GEVRIER, HAUTE-SAVOIE"
ANCRAGE,"Ancrage Conseil","Le Lombard, 07210, ST LAGER BRESSAC, ARDECHE"
ANDRIEUXJA,"Andrieux Jacques","TRIONNAS  105, 1978, LENS"
